City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Rabo De Peixe,PT,2020-08-30 02:27:23,37.8,-25.58,73.4,83,75,9.17
214,Zabaykalsk,RU,2020-08-30 02:27:23,49.63,117.32,55.51,89,100,2.98
215,Sitka,US,2020-08-30 02:27:23,57.05,-135.33,57.2,82,75,5.82
216,Te Anau,NZ,2020-08-30 02:27:23,-45.42,167.72,52.05,72,100,7.18
217,Bossier City,US,2020-08-30 02:25:25,32.52,-93.73,87.8,66,1,5.82
218,Kemise,ET,2020-08-30 02:27:24,10.72,39.87,65.73,70,94,3.33
219,Waingapu,ID,2020-08-30 02:27:24,-9.66,120.26,84.36,48,40,17.87
220,Riyadh,SA,2020-08-30 02:27:04,24.69,46.72,80.6,21,97,5.82
221,San Cristobal,VE,2020-08-30 02:27:24,7.77,-72.22,66.27,89,73,2.19
222,Dhidhdhoo,MV,2020-08-30 02:27:24,6.88,73.1,83.23,70,100,8.79
223,Olafsvik,IS,2020-08-30 02:27:24,64.89,-23.71,52.03,92,100,13.13
224,Kankan,GN,2020-08-30 02:27:24,10.39,-9.31,70.59,96,100,6.44
225,Mahanoro,MG,2020-08-30 02:27:25,-19.9,48.8,65.86,88,27,4.16
226,Belaya Gora,RU,2020-08-30 02:27:25,68.53,146.42,49.86,54,67,4.54
227,Tobol,KZ,2020-08-30 02:27:25,52.68,62.58,66.61,63,92,2.86
228,Porto Novo,BJ,2020-08-30 02:27:25,6.5,2.6,77.0,88,20,12.75
229,Pertuis,FR,2020-08-30 02:27:25,43.69,5.5,62.6,72,65,4.7
230,Berdigestyakh,RU,2020-08-30 02:27:25,62.1,126.7,55.35,88,100,3.09
231,Kaitangata,NZ,2020-08-30 02:27:25,-46.28,169.85,61.0,52,66,15.01
232,Litovko,RU,2020-08-30 02:27:26,49.24,135.17,59.43,74,100,9.86
233,Andilamena,MG,2020-08-30 02:27:26,-17.02,48.58,56.82,89,93,7.61
234,Moose Factory,CA,2020-08-30 02:27:26,51.26,-80.61,51.8,76,90,9.17
235,Saint-Augustin,CA,2020-08-30 02:27:26,51.23,-58.65,54.61,62,100,7.25
236,Fushun,CN,2020-08-30 02:27:26,41.86,123.92,77.0,88,99,6.71
237,Maceio,BR,2020-08-30 02:27:26,-9.67,-35.74,71.6,94,20,2.24
238,Mitsamiouli,KM,2020-08-30 02:27:26,-11.38,43.28,75.06,73,0,10.07
239,Gat,IL,2020-08-30 02:27:27,31.61,34.76,81.0,83,0,1.88
240,Ribeira Grande,PT,2020-08-30 02:27:27,38.52,-28.7,74.5,94,69,7.02
241,Cabedelo,BR,2020-08-30 02:27:27,-6.98,-34.83,77.0,83,40,9.17
242,Ramhormoz,IR,2020-08-30 02:27:27,31.28,49.6,82.4,39,40,6.93
243,Iqaluit,CA,2020-08-30 02:27:27,63.75,-68.51,51.8,66,75,11.41
244,Lockhart,US,2020-08-30 02:27:27,28.62,-81.44,81.0,83,1,4.7
245,Jiaonan,CN,2020-08-30 02:27:28,35.88,119.98,82.99,78,40,6.71
246,Taltal,CL,2020-08-30 02:27:28,-25.4,-70.48,56.28,57,0,5.77
247,Pryozerne,UA,2020-08-30 02:27:28,45.27,36.33,70.03,59,0,10.38
248,Kloulklubed,PW,2020-08-30 02:27:28,7.04,134.26,86.0,70,75,6.93
249,Camacha,PT,2020-08-30 02:27:28,33.08,-16.33,71.6,60,40,9.17
250,Chumikan,RU,2020-08-30 02:27:28,54.72,135.31,58.66,51,99,9.26
251,Yulara,AU,2020-08-30 02:27:28,-25.24,130.99,75.2,22,0,10.29
252,Port Hardy,CA,2020-08-30 02:27:29,50.7,-127.42,59.0,77,40,12.75
253,Lar,IN,2020-08-30 02:27:29,26.2,83.97,84.87,67,65,3.27
254,Colares,PT,2020-08-30 02:27:29,38.8,-9.45,64.0,79,0,23.55
255,Vilhena,BR,2020-08-30 02:27:29,-12.74,-60.15,80.33,34,46,3.74
256,Vardo,NO,2020-08-30 02:27:29,70.37,31.11,50.45,78,65,12.5
257,Aklavik,CA,2020-08-30 02:27:29,68.22,-135.01,59.0,36,20,8.05
258,Fairbanks,US,2020-08-30 02:25:32,64.84,-147.72,66.2,45,75,4.7
259,Antalaha,MG,2020-08-30 02:27:30,-14.9,50.28,68.79,88,52,8.41
260,Bethel,US,2020-08-30 02:27:30,41.37,-73.41,71.01,93,1,1.01
261,Bafra,TR,2020-08-30 02:27:30,41.57,35.91,62.6,88,40,2.24
262,Cidreira,BR,2020-08-30 02:27:30,-30.18,-50.21,66.0,89,98,7.05
263,Isiro,CD,2020-08-30 02:27:31,2.77,27.62,63.09,98,86,1.19
264,Victoria Point,AU,2020-08-30 02:24:19,-27.58,153.3,71.01,63,81,4.0
265,Pedernales,DO,2020-08-30 02:27:31,18.04,-71.74,82.8,77,2,1.72
266,Henties Bay,NA,2020-08-30 02:27:31,-22.12,14.28,48.99,80,0,12.41
267,Clyde River,CA,2020-08-30 02:27:31,70.47,-68.59,42.8,93,1,1.28
268,Devarkonda,IN,2020-08-30 02:27:31,16.7,78.93,77.22,80,96,11.79
